Number,valence,energy,tension,anger,fear,happy,sad,tender,TARGET,,
1,4.83,6.83,3.17,1.00,1.00,7.33,1.00,1.00,HAPPY,,
2,4.83,6.17,3.83,1.00,1.00,7.17,1.17,1.83,HAPPY,,
3,5.60,6.20,3.00,1.00,1.00,7.17,1.00,1.00,HAPPY,,
4,4.67,6.33,3.83,1.00,1.00,7.17,1.00,1.00,HAPPY,,
5,6.50,5.00,3.17,1.17,1.00,7.17,1.00,2.83,HAPPY,,
6,5.00,5.40,2.80,1.00,1.00,7.00,1.00,1.00,HAPPY,,
7,5.40,6.20,3.80,1.00,1.00,7.00,1.00,1.50,HAPPY,,
8,5.00,5.20,2.60,1.00,1.00,7.00,1.00,2.00,HAPPY,,
9,6.00,6.00,3.60,1.00,1.00,7.00,1.00,1.00,HAPPY,,
10,4.83,6.17,4.33,1.00,1.00,6.50,1.00,1.00,HAPPY,,
11,4.83,6.50,4.00,1.17,1.00,6.50,1.00,1.67,HAPPY,,
12,5.20,6.80,4.00,1.00,1.00,6.33,1.00,1.00,HAPPY,,
13,5.83,5.83,3.17,1.00,1.80,6.20,1.00,1.60,HAPPY,,
14,5.20,6.00,4.60,1.00,1.00,6.17,1.00,2.50,HAPPY,,
15,5.83,4.17,2.83,1.00,1.00,6.17,1.00,5.17,HAPPY,,
16,6.00,3.40,1.60,1.00,1.00,5.67,1.00,7.50,HAPPY,,
17,5.67,4.50,3.67,1.00,1.00,5.50,1.00,2.33,HAPPY,,
18,4.33,6.67,4.67,1.00,1.00,5.50,1.00,1.00,HAPPY,,
19,5.00,5.83,4.67,1.83,1.00,5.50,1.00,1.00,HAPPY,,
20,5.20,4.60,3.80,1.00,1.00,5.17,1.00,2.67,HAPPY,,
21,6.40,4.40,2.60,1.00,1.00,4.83,1.00,3.83,HAPPY,,
22,5.60,5.00,4.20,1.50,1.00,4.67,1.00,1.00,HAPPY,,
23,5.83,2.83,2.33,1.00,1.00,4.67,1.33,5.33,HAPPY,,
24,5.83,2.33,1.33,1.00,1.00,4.17,2.00,7.17,HAPPY,,
25,4.60,4.60,3.60,1.00,1.00,4.17,1.00,1.83,HAPPY,,
26,6.00,2.60,1.40,1.00,1.00,3.67,2.50,6.00,HAPPY,,
27,4.60,4.20,2.20,1.00,1.00,3.00,1.67,4.33,HAPPY,,
28,6.17,3.50,2.83,1.00,1.00,2.80,3.00,6.60,HAPPY,,
29,5.50,4.00,4.17,1.00,1.00,2.80,3.00,3.40,HAPPY,,
30,4.83,2.33,3.67,1.00,1.00,1.00,4.00,4.40,HAPPY,,
31,5.00,2.33,2.67,1.17,1.00,1.00,7.67,3.50,SAD,,
32,5.83,2.17,3.00,1.00,1.33,1.17,7.50,2.67,SAD,,
33,5.67,2.50,2.50,1.00,1.67,1.00,7.50,4.00,SAD,,
34,5.17,2.17,2.33,1.00,1.00,1.00,7.33,5.67,SAD,,
35,5.50,1.50,1.83,1.00,1.00,1.00,7.17,5.33,SAD,,
36,3.67,2.17,4.67,1.00,2.50,1.17,7.00,1.00,SAD,,
37,4.40,2.00,3.60,1.50,2.83,1.00,7.00,2.00,SAD,,
38,5.17,1.67,2.50,1.00,1.00,1.33,6.50,3.33,SAD,,
39,4.50,2.83,3.50,1.00,1.50,1.17,6.50,1.67,SAD,,
40,4.00,4.33,4.17,2.20,1.80,1.00,6.20,1.00,SAD,,
41,4.80,2.60,4.00,1.00,1.67,1.00,6.17,4.83,SAD,,
42,5.80,2.20,1.20,1.00,1.00,1.00,6.00,6.17,SAD,,
43,5.00,2.60,3.20,1.00,1.00,1.00,6.00,5.17,SAD,,
44,4.60,2.20,3.20,1.67,1.50,1.00,6.00,2.83,SAD,,
45,4.80,2.40,1.80,1.00,1.00,1.00,5.83,4.33,SAD,,
46,4.20,3.60,4.40,1.00,2.17,1.00,5.83,1.83,SAD,,
47,5.00,3.00,3.60,1.00,1.00,1.67,5.83,5.33,SAD,,
48,6.00,1.83,1.67,1.00,1.00,1.00,5.67,6.67,SAD,,
49,5.17,2.00,2.33,1.00,1.00,1.50,5.33,4.67,SAD,,
50,5.80,2.20,1.80,1.00,1.00,1.00,5.33,3.17,SAD,,
51,6.40,3.40,2.00,1.00,1.00,1.00,5.00,5.50,SAD,,
52,5.60,3.40,2.60,1.00,1.00,1.67,5.00,4.83,SAD,,
53,4.40,2.20,2.40,1.00,1.40,1.00,4.60,1.40,SAD,,
54,5.00,2.67,2.83,1.00,1.00,1.83,4.00,4.00,SAD,,
55,5.60,2.60,2.20,1.00,1.00,2.00,3.83,4.83,SAD,,
56,3.33,2.83,5.50,1.00,3.60,1.00,3.20,1.60,SAD,,
57,5.40,1.80,3.20,1.00,1.67,2.33,3.00,4.83,SAD,,
58,4.67,3.33,3.50,1.00,1.00,3.50,3.00,3.33,SAD,,
59,5.20,2.60,4.00,1.00,1.50,2.83,2.83,5.50,SAD,,
60,5.67,3.50,2.50,1.00,1.00,5.00,1.00,5.00,SAD,,
61,5.80,2.80,2.40,1.00,1.00,5.83,2.00,7.83,TENDER,,
62,6.83,4.33,2.50,1.00,1.00,2.20,2.80,7.60,TENDER,,
63,5.83,2.00,2.00,1.00,1.00,1.60,4.40,7.40,TENDER,,
64,6.60,2.40,1.20,1.00,1.00,4.17,1.50,7.17,TENDER,,
65,6.40,3.20,1.80,1.00,1.00,4.50,2.17,7.17,TENDER,,
66,5.83,2.67,1.83,1.00,1.00,3.80,1.60,6.80,TENDER,,
67,6.50,3.33,1.83,1.00,1.00,5.00,1.83,6.67,TENDER,,
68,6.60,3.20,1.40,1.00,1.00,3.17,1.83,6.67,TENDER,,
69,5.40,3.80,3.00,1.00,1.00,3.00,1.67,6.33,TENDER,,
70,4.67,2.67,3.00,1.00,1.00,3.00,2.17,6.33,TENDER,,
71,6.00,1.60,1.40,1.00,1.00,3.17,2.83,6.33,TENDER,,
72,5.83,3.50,1.83,1.00,1.00,3.50,1.50,6.17,TENDER,,
73,6.20,3.20,2.80,1.00,1.00,4.33,2.67,6.00,TENDER,,
74,6.50,3.00,1.83,1.00,1.00,4.83,1.83,5.83,TENDER,,
75,6.00,3.00,1.83,1.00,1.00,4.17,2.00,5.83,TENDER,,
76,6.40,2.60,2.40,1.00,1.00,2.00,4.67,5.50,TENDER,,
77,6.50,4.33,2.50,1.00,1.00,3.80,1.00,5.40,TENDER,,
78,6.00,3.00,2.60,1.00,1.00,2.17,3.83,5.33,TENDER,,
79,6.00,2.00,1.60,1.00,1.00,4.17,1.00,5.33,TENDER,,
80,5.50,3.50,2.17,1.00,1.00,1.00,3.50,5.17,TENDER,,
