song id;Source;ID at file source;Title;Artist;Album name
1;Magnatune;;Trio Sonata in C Major BWV 529-2 Largo;Voices of Music;Bach and Telemann - Sonatas
2;Magnatune;;Sonata No. 2 in G major Op. 50 - Largo;Musica Franca;Boismortier - Sonatas for Two Bassoons and Continuo
3;Magnatune;;Sonata for Violoncello and Basso Continuo in Bb Allegro - RV 43;Gonzalo X Ruiz;Imported from Italy
4;Magnatune;;Suite in Fa Major (Adagio);Ivan Ilic;Elegance and Refinement - Baroque Suites French Sweets
5;Magnatune;;Intermezzo in B flat Minor Opus 117 No.2;Ivan Ilic;Romantic - Powerful Miniatures by Schumann and Brahms
6;Magnatune;;Prelude and Fugue No. 13 in F-sharp major;Daniel Ben Pienaar;JS Bach - Book 1 CD2 Well-Tempered Clavier
7;Magnatune;;Trio Sonata in D minor-1. Allegro;Voices of Music;Bach and Telemann - Sonatas
8;Magnatune;;Suite in C Major-1. Prelude;Edward Martin;Allemande
9;Magnatune;;from Handel Trio Sonatas;Sonnerie;Romantic Dinner Classical Compilation
10;Magnatune;;Carnaval Opus 9 - Preambule;Cary Chow;Zirkus - Step Inside - Piano Music of Robert Schumann
11;Magnatune;;Sonata 6 in C Minor (from 8 Sonatas 1681);Sand Craig and Dornenburg;Biber Violin Sonatas
12;Magnatune;;Trio Sonata in D minor-3 Allegro;Voices of Music;Bach and Telemann - Sonatas
13;Magnatune;;Prelude In E Major Opus 28;Ivan Illic;Fugitive Visions - Piano Masterworks by Chopin and Liszt
14;Magnatune;;Sonata No. 2 BWV 1015 - 1. Dolce;Ingrid Matthews and Byron Schenkman;CD1-JS Bach-Six Sonatas for Violin and Harpsichord
15;Magnatune;;Sonata No. 4 BWV 1017 - 1. Largo;Ingrid Matthews and Byron Schenkman;CD2-JS Bach-Six Sonatas for Violin and Harpsichord
16;Magnatune;;Prelude In G Minor Opus 28;Ivan Ilic;Fugitive Visions - Piano Masterworks by Chopin and Liszt
17;Magnatune;;Intermezzo in E Major Opus 116 No.4;Ivan Ilic;Romantic - Powerful Miniatures by Schumann and Brahms
18;Magnatune;;Sonata No. 2 in G major Op. 50 - Allemanda (Allegro);Musica Franca;Boismortier - Sonatas for Two Bassoons and Continuo
19;Magnatune;;Sonata BWV 1027 in G major: adagio;Ralph Rousseau Meulenbroeks;Back with Bach
20;Magnatune;;Set a 5 in C Minor;Oberlin Consort of Viols;5 and 6 part Fantasies of William Lawes
21;Magnatune;;Sonata for Oboe and Bassoc Continuo in G major: Andante;Gonzalo X Ruiz;Imported from Italy
22;Magnatune;;Confitebor;Altri Stromenti;Uccellini
23;Magnatune;;Wachet auf ruft uns die Stimme (BWV 140) - Chorus;American Bach Soloists;JS Bach Cantatas - Volume VI - Favorite Cantatas
24;Magnatune;;Fandango;Bezdin Ensemble;Boccherini Fandango Box
25;Magnatune;;Toccata III in C Major 1656;Sand Craig and Dornenburg;Biber Violin Sonatas
26;Magnatune;;Concerto in A Minor for Four Harpsichords BWV 1065: I Allegro;American Bach Soloists;J.S. Bach - Transcriptions of Italian Music
27;Magnatune;;Kyrie - Allegro moderato;American Bach Soloists;Joseph Haydn - Masses
28;Magnatune;;Oboe Quartet in F (K370) - Allegro;American Baroque;Mozart 4 Quartets for Strings and Winds
29;Magnatune;;La Savorgnana;Altri Stromenti;Italian Music of the 17th Century
30;Magnatune;;Gloria;Bezdin Ensemble;Vivaldi Sacred Box
31;Magnatune;;Lenten is come;Briddes Roune;Lenten is come
32;Magnatune;;Sonata Prima Detta La Poggia;Altri Stromenti;Italian Music of the 17th Century
33;Magnatune;;Partita in C minor (Sarabande);Ivan Ilic;Elegance and Refinement - Baroque Suites French Sweets
34;Magnatune;;Sonata I Sostenuto;Doc Rossi;6 Sonatas for Cetra o Kitara
35;Magnatune;;Andreas Christi Sancte Andrea;Duo Chambure;Vihuela Duets of Valderrabano
36;Magnatune;;Sonata In C Major - Andante;Edward Martin and Paul Berget;Baroque Lute Duets
37;Magnatune;;Come again: sweet love doth now invite;Edward Martin and William Bastian;Virtues and Vices
38;Magnatune;;Prelude;Edward Martin;Art of the Lute in Renaissance France
39;Magnatune;;Sinfonia in La Maggiore;Bezdin Ensemble;Boccherini Fandango Box
40;Magnatune;;If I were wind I would tempest you;Bezdin Ensemble;Si fossi foco
41;Magnatune;;Sonata III in d minor (Allegro:Moderato);Ensemble Mirable;Conversations Galantes
42;Magnatune;;Sonata 1 (Largo);Ensemble Mirable;Triemer Six Cello Sonatas
43;Magnatune;;Sonata Teraz a 2 Allegro;Ensemble Vermillian;Stolen Jewels
44;Magnatune;;Ballo Del Gran Ducca;Altri Stromenti;Italian Music of the 17th Century
45;Magnatune;;Chansons sans paroles (1989)  Pastorale;Gerard Satamian;Dry Fig Trees
46;Magnatune;;Sonata in C major for oboe and basso continuo after BWV 1035 (adagio ma non tanto);Gonzalo X Ruiz;JS Bach - Transcriptions for Oboe
47;Magnatune;;Drei Romanzen Op. 94 (Nicht schnell);Gonzalo X Ruiz;Schumann Romances
48;Magnatune;;Suite in d minor - Allemande la Loureuse;Hanneke van Proosdij;Harpsichord suites of Chambonnieres
49;Magnatune;;Stabat Mater;Bezdin Ensemble;Vivaldi Sacred Box
50;Magnatune;;If I were fire;Bezdin Ensemble;Si fossi foco
51;Magnatune;;Anon : Praeter rerum seriem;Heringman;Josquin des Prez Lute Settings
52;Magnatune;;La Ritirata Di Madrid;Bezdin Ensemble;Boccherini Fandango Box
53;Magnatune;;If I were pope;Bezdin Ensemble;Si fossi foco
54;Magnatune;;Phenix - Allegro;Musica Franca;Corrette - Le Phenix - Les Delices de la Solitude
55;Magnatune;;Avanti Il Quarto Brando;Altri Stromenti;Italian Music of the 17th Century
56;Magnatune;;Les Delices de la Solitude Op. 20 - Sonata I in F major - Aria;Musica Franca;Corrette - Le Phenix - Les Delices de la Solitude
57;Magnatune;;Magnificat;Bezdin Ensemble;Vivaldi Sacred Box
58;Magnatune;;If I were emperor;Bezdin Ensemble;Si fossi foco
59;Magnatune;;Sinfonia In Re Minore;Bezdin Ensemble;Boccherini Fandango Box
60;Magnatune;;Prelude In B Minor Opus 28;Ivan Illic;Fugitive Visions - Piano Masterworks by Chopin and Liszt
61;Magnatune;;Sonata II in D minor - Allegro;Musica Franca;Corrette - Le Phenix - Les Delices de la Solitude
62;Magnatune;;Waltz KK IVa no.12 in E major;Janine Johnson;Chopin Recital
63;Magnatune;;Intermezzo in E Major Opus 116 No.6;Ivan Ilic;Romantic - Powerful Miniatures by Schumann and Brahms
64;Magnatune;;Sonata III in C major - Fuga da capella;Musica Franca;Corrette - Le Phenix - Les Delices de la Solitude
65;Magnatune;;Trouble fete;Janine Johnson;Telemann Harpsichord Solos from Der Getreue Music Meister
66;Magnatune;;Prelude In C Sharp Minor Opus 28;Ivan Illic;Fugitive Visions - Piano Masterworks by Chopin and Liszt
67;Magnatune;;Gagliard Seconda;Altri Stromenti;Italian Music of the 17th Century
68;Magnatune;;Alysoun;John Fleagle;Worlds Bliss - Medieval Songs of Love and Death
69;Magnatune;;More Palatino;JungHae Kim;The Virginalists
70;Magnatune;;Suite No 4 in E flat major BWV 815: Allemande;Katherine Roberts Perl;J.S. Bach French Suites
71;Magnatune;;Oxenford (Anon);La Primavera;English Renaissance Music
72;Magnatune;;BWV 1041 / I. Allegro;Lara St John;Bach Violin Concertos
73;Magnatune;;Prelude In C Major Opus 28;Ivan Illic;Fugitive Visions - Piano Masterworks by Chopin and Liszt
74;Magnatune;;BWV 1001 IV. Presto;Lara St John;Bach Violin Concertos
75;Magnatune;;Romance in B Major Opus 28 No.3;Ivan Ilic;Romantic - Powerful Miniatures by Schumann and Brahms
76;Magnatune;;Premier Concert - Coulicam;Maryse Carlin;Rameau - Pieces De Clavecin En Concerts - Forqueray Suites 4 and 5
77;Magnatune;;Prelude In A Flat Major Opus 28;Ivan Illic;Fugitive Visions - Piano Masterworks by Chopin and Liszt
78;Magnatune;;Ground After the Scotch Humour;Music of the Spheres;Music of the Spheres
79;Magnatune;;01 - Sonata No. 1 in E minor Op. 50 - Andante;Musica Franca;Boismortier - Sonatas for Two Bassoons and Continuo
80;Magnatune;;Phenix - Allegro;Musica Franca;Corrette - Le Phenix - Les Delices de la Solitude
81;Magnatune;;Sonata IV in B-flat major;Musica Franca;Corrette - Le Phenix - Les Delices de la Solitude
